objeto_contrato,valor_contrato,hash,versao_idx
"Prestacao e utilizacao de servico publico de energia eletrica entre a distribuidora e o consumidor, de acordo com o Projeto Basico que integra o presente termo","R$ 133.242,81",d5f2f051f814,0
"Contratacao de empresa especializada na prestacao de servico de manutencao preventiva e corretiva, com fornecimento e reposicao de pecas, nos elevadores social, servico e privativo, instalados no edificio sede da CODEPLAN","R$ 10.000,00",cc63df2e58fa,0
"a contratacao de Pessoa Juridica Especializada para prestacao dos servicos continuado de limpeza e sanitizacao de 1.200 (um mil e duzentas) caixas plasticas mensais CP 23 TAL, compreendendo fornecimento total de insumos e mao de obra, mediante ""menor preco por lote"" para a Ceasa/DF","R$ 9.072,00",4f7551474437,0
"Prestacao de Servicos Tecnicos Profissionais Especializados visando a ELABORACAO DE PROJETOS e ESTUDOS TECNICOS com modelagem em software de tecnologia BIM (building information modeling), destinados a obra de construcao do Centro de Assistencia Social (CASO) da PMDF.","R$ 200.500,00",700626ae60bf,0
"Contratacao de empresa especializada em servicos graficos, para execucao de servicos especializadas na prestacao de servicos graficos (producao grafica, impressao e acabamento) por demanda, para suprir as necessidades da Secretaria de Estado de Justica e Cidadania do Distrito Federal - SEJUS/DF.","R$ 494.959,00",e9a37788119b,0
"a prestacao de servicos tecnicos, conforme descritos no Grupo 11, itens 76, 78, 79, 80, 81, 82, bem como seguro individual contra acidentes pessoais dos participantes devidamente inscritos, conforme descricao do Grupo 15, item 90, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 6.305,00",dccdeb7e4e11,0
"prestacao de servicos de locacao de veiculo tipo Van com capacidade minima de 15 passageiros, quilometragem livre, seguro total e despesas com motorista, conforme descricao do Lote 13, item 86 do Edital, e locacao de veiculo tipo Caminhao com carroceria fechada, veiculo tipo misto, carga/passageiro, cabine simples, conforme descricao no Lote 13, item 87 do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 655,98",c459e5e98a32,0
"prestacao de servicos de cronometragem com chip e controle de inscricoes online, conforme descricao contida no Lote 17, item 97 do Edital e confeccao de numero de peito em papel Tyvek, medindo 1, 5 x 21 cm, conforme descricao contida no Lote 17, item 98 do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 4.485,00",b3c4b8b5869b,0
"prestacao de servicos, locacao e fornecimento de materiais, conforme descritos nos itens 7, 8, 11, 14, 25, 28,99, 104, do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I","R$ 17.227,62",6f2267da7f0b,0
Contratacao de 12 sentenciados junto a FUNAP,"R$ 286.696,80",6e2d8956d55b,0
"Aquisicao de materiais permanentes, Item 1, 20 (vinte) mesas 70x70 de plastico resistente, Item 2, 100 (cem) cadeiras de plastico resistente, capacidades de peso: 182 kg, conforme detalhado nos autos.","R$ 3.540,00",f0d1253a8a44,0
"Aquisicao de material permanente, 2 (duas) Tendas modelo piramidal no tamanho 6X6 com fechamentos laterais, conforme detalhado nos autos.","R$ 7.400,00",bbac1b949ca8,0
"O presente instrumento, tem por objeto aquisicao de aparelhos de ar condicionado, com instalacao simples, tipo Split com Sistema Inverter, item 07","R$ 60.000,00",d45eed449c22,0
"O presente instrumento, tem por objeto aquisicao de aparelhos de ar condicionado, com instalacao simples, tipo Split com Sistema Inverter, itens 01,03 e 06","R$ 108.365,00",7fb4ecd93f0c,0
"aquisicao de 18 (dezoito) bebedouros de inox, para atender demandas de unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal, consoante especifica o Edital de Pregao Eletronico no 11/2018-SSPDF.","R$ 14.327,64",cd600cd2cbe9,0
"prestacao de servicos de empresa especializada para substituicao das telhas e recuperacao da impermeabilizacao dos elementos da cobertura e das fachadas cegas (laterais) do Edificio Sede da Secretaria de Seguranca Publica do Distrito Federal, consoante especifica o Edital de Pregao Eletronico no 25/2019-SSPDF.","R$ 173.799,00",e92751885fe0,0
contratacao de empresa para prestacao de servicos especializados na avaliacao de desempenho dos integrantes dos orgaos de governanca.,"R$ 169.998,00",d34edac6e3cd,0
"projeto ""BRB Stand Up Brasilia""","R$ 40.000,00",bbbd908ef887,0
"Contratacao de empresa especializada na prestacao de servicos de confeccao copias e modelagens de chaves, instalacao, consertos e aberturas de fechaduras, troca de segredos, para atender as necessidades destes Companhia","R$ 6.660,00",02da10161b1e,0
"Para servicos relacionados ao processo no 304-00001023/2019-16, contrato SEI no 039814 - referente a a prestacao de servicos de Show Artisticos Esportes com Manobras Radicais, para a realizacao da comemoracao do Trigesimo Aniversario de Sobradinho II, a ser realizado no dia 18 de outubro de 2019, prestados pela Empresa Forca e Acao e Comercio e Evento LTDA","R$ 10.000,00",0244c64ac65b,0
Prestacao de servicos de consultoria para construcao de indicadores de desempenho da carteira de credito da Financeira BRB.,"R$ 37.500,00",0f1c7a66b2d8,0
"projeto ""Gente que Inspira""","R$ 120.000,00",19a7d6a1ba80,0
"contratacao de empresa, com mao de obra especializada, para a prestacao de servicos de manutencao de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e aplicacao de pecas genuinas, conforme especificacoes e quantitativos constantes do Termo de Referencia, na proposta apresentada todos constantes do processo, os quais se tornam parte integrante deste instrumento, independentemente de transcricoes","R$ 46.550,00",ff4fc66303eb,0
