composite_key,objeto_contrato,valor_contrato,processo_gdf,numero_contrato,raw_text_hash,versao_idx
d5f2f051f814_00145-00000647/2019-23_03/2019,"Prestacao e utilizacao de servico publico de energia eletrica entre a distribuidora e o consumidor, de acordo com o Projeto Basico que integra o presente termo","R$ 133.242,81",00145-00000647/2019-23,03/2019,5403f629b676,0
cc63df2e58fa_00121.0000.0393/2019-21_17/2019,"Contratacao de empresa especializada na prestacao de servico de manutencao preventiva e corretiva, com fornecimento e reposicao de pecas, nos elevadores social, servico e privativo, instalados no edificio sede da CODEPLAN","R$ 10.000,00",00121.0000.0393/2019-21,17/2019,1be7a170454c,0
4f7551474437_00071-00001158/2018-55_002/2019,"a contratacao de Pessoa Juridica Especializada para prestacao dos servicos continuado de limpeza e sanitizacao de 1.200 (um mil e duzentas) caixas plasticas mensais CP 23 TAL, compreendendo fornecimento total de insumos e mao de obra, mediante ""menor preco por lote"" para a Ceasa/DF","R$ 9.072,00",00071-00001158/2018-55,002/2019,3602c90479b6,0
700626ae60bf_00054-00018200/2019-48_57/2019,"Prestacao de Servicos Tecnicos Profissionais Especializados visando a ELABORACAO DE PROJETOS e ESTUDOS TECNICOS com modelagem em software de tecnologia BIM (building information modeling), destinados a obra de construcao do Centro de Assistencia Social (CASO) da PMDF.","R$ 200.500,00",00054-00018200/2019-48,57/2019,9ee0639412d7,0
e9a37788119b_00400-00020718/2019-55_12/2019,"Contratacao de empresa especializada em servicos graficos, para execucao de servicos especializadas na prestacao de servicos graficos (producao grafica, impressao e acabamento) por demanda, para suprir as necessidades da Secretaria de Estado de Justica e Cidadania do Distrito Federal - SEJUS/DF.","R$ 494.959,00",00400-00020718/2019-55,12/2019,8bf049cc38c3,0
dccdeb7e4e11_00220-00003406/2019-03_32/2019,"a prestacao de servicos tecnicos, conforme descritos no Grupo 11, itens 76, 78, 79, 80, 81, 82, bem como seguro individual contra acidentes pessoais dos participantes devidamente inscritos, conforme descricao do Grupo 15, item 90, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 6.305,00",00220-00003406/2019-03,32/2019,aaf25166253c,0
c459e5e98a32_00220-00003406/2019-03_33/2019,"prestacao de servicos de locacao de veiculo tipo Van com capacidade minima de 15 passageiros, quilometragem livre, seguro total e despesas com motorista, conforme descricao do Lote 13, item 86 do Edital, e locacao de veiculo tipo Caminhao com carroceria fechada, veiculo tipo misto, carga/passageiro, cabine simples, conforme descricao no Lote 13, item 87 do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 655,98",00220-00003406/2019-03,33/2019,6e84d6850f2a,0
b3c4b8b5869b_00220-00003406/2019-03_34/2019,"prestacao de servicos de cronometragem com chip e controle de inscricoes online, conforme descricao contida no Lote 17, item 97 do Edital e confeccao de numero de peito em papel Tyvek, medindo 1, 5 x 21 cm, conforme descricao contida no Lote 17, item 98 do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","R$ 4.485,00",00220-00003406/2019-03,34/2019,a88d1c3acba6,0
6f2267da7f0b_00220-00003406/2019-03_35/2019,"prestacao de servicos, locacao e fornecimento de materiais, conforme descritos nos itens 7, 8, 11, 14, 25, 28,99, 104, do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I","R$ 17.227,62",00220-00003406/2019-03,35/2019,df30d4277f46,0
6e2d8956d55b_305.000.016/2016_01/2016,Contratacao de 12 sentenciados junto a FUNAP,"R$ 286.696,80",305.000.016/2016,01/2016,297ec2970e3f,0
